,,happiness
304,热点,5.97
305,热泪,5.28
306,人才,6.66
307,人格,6.54
308,人类,5.6
309,人民,5.8
310,人情,5.91
311,容貌,6.1
312,柔情,6.51
313,赛场,5.65
314,色情,3.03
315,沙漠,4.05
316,傻瓜,3.31
317,伤痕,3.21
318,伤口,3.26
319,伤势,3.35
320,少女,6.59
321,身体,5.85
322,深情,6.83
323,深渊,3.31
324,神态,5.4
325,神仙,6.78
326,生活,5.85
327,生命,6.28
328,声誉,6.79
329,牲畜,3.98
330,狮子,5.1
331,时机,6.46
332,实话,6.38
333,世界,5.85
334,事故,3.42
335,事物,5.17
336,事业,6.66
337,视野,5.64
338,是非,3.83
339,收入,6.44
340,手枪,3.55
341,首领,5.65
342,首饰,6.31
343,首相,5.74
344,寿命,5.93
345,蔬菜,6.09
346,树林,6.23
347,睡眠,6.01
348,丝绸,5.84
349,死刑,2.07
350,素质,6.5
351,太监,2.83
352,谈判,4.72
353,特权,5.7
354,体操,5.71
355,体坛,5.82
356,体育,6.08
357,天使,7.32
358,天堂,7.01
359,铁路,5.1
360,童话,6.58
361,童年,6.72
362,外国,5.33
363,晚会,6.53
364,网络,6.37
365,危机,2.96
366,温泉,6.24
367,文学,6.05
368,问题,4.38
369,武功,5.79
370,武器,3.92
371,武装,3.86
372,舞蹈,6.43
373,夕阳,5.83
374,西装,5.91
375,媳妇,5.84
376,喜剧,7.01
377,细菌,3.03
378,先生,5.77
379,鲜花,7.37
380,闲话,4.1
381,现实,5.5
382,乡亲,6.65
383,香水,6.38
384,消防,5.06
385,小康,6.8
386,小偷,2.52
387,效益,5.87
388,校园,6.66
389,笑话,6.81
390,笑脸,7.09
391,笑容,7.23
392,心情,6.43
393,心愿,6.61
394,心脏,5.05
395,新房,6.82
396,新人,6.03
397,新闻,5.96
398,信念,6.58
399,信息,6.04
400,信心,7.03
401,信仰,6.23
402,信用,6.31
403,信誉,6.69
404,兴趣,6.62
405,行径,4.4
406,行踪,4.29
407,形象,6.19
408,性命,4.91
409,凶手,2.41
410,兄弟,6.84
411,雄心,6.17
412,修养,6.37
413,虚荣,2.84
414,悬崖,3.9
415,学问,6.24
416,学校,6.02
417,雪山,6.38
418,血迹,2.84
419,压力,3.22
420,衙门,3.82
421,颜色,5.85
422,眼睛,5.85
423,宴会,6.48
424,谣言,2.86
425,要害,3.84
426,要闻,5.67
427,野心,4.21
428,业绩,6.38
429,医生,5.18
430,移民,5.29
431,遗产,5.26
432,遗体,2.61
433,遗址,4.15
434,疑虑,3.05
435,疑问,4.5
436,阴影,3.22
437,银行,6.4
438,隐患,3.18
439,隐私,4.33
440,英雄,7.06
441,婴儿,5.99
442,盈利,7.09
443,营养,6.38
444,优点,6.95
445,优势,6.7
446,邮票,5.52
447,油画,5.77
448,游戏,6.31
449,友人,7.11
450,友谊,7.49
451,右派,4.08
452,幼儿,5.88
453,语言,5.53
454,园林,6.28
455,院士,5.92
456,愿望,6.91
457,月亮,6.6
458,灾害,2.63
459,责任,5.78
460,炸弹,3.2
461,炸药,3.3
462,债务,3.08
463,战场,3.51
464,战友,6.28
465,战争,3.22
466,丈夫,5.65
467,障碍,3.23
468,真理,6.78
469,真相,6.38
470,真心,6.9
471,正气,6.79
472,正义,6.9
473,政府,4.85
474,知己,7.35
475,知识,6.81
476,职责,5.27
477,秩序,5.51
478,智慧,7.03
479,智力,6.53
480,中央,5.78
481,忠心,6.75
482,重伤,2.96
483,珠宝,6.92
484,主力,5.77
485,主权,6.17
486,主人,5.69
487,专家,6.09
488,资金,6.34
489,滋味,5.62
490,总管,4.7
491,总理,6.23
492,总统,5.66
493,足球,6.1
494,祖国,6.76
495,祖先,5.61
496,祖宗,5.65
497,罪恶,2.64
498,罪犯,2.2
499,罪名,2.87
500,作家,5.48
